"Company","Ticker",sector_id,industry_id,Number_of_employees,MarketCap,seg_id
"Nucor","NUE",43,15,32000,47492,2
"Jabil","JBL",63,18,236000,17084.7,2
"Lennar","LEN",18,10,12284,47374.8,2
"Eli Lilly","LLY",27,16,43000,739658,2
"Molina Healthcare","MOH",27,10,18000,24068,2
"Cummins","CMI",35,12,75500,41798.1,2
"Bank of New York Mellon","BK",21,4,53400,43380.4,2
"Netflix","NFLX",43,6,13000,262827.9,2
"Truist Financial","TFC",21,4,49935,52022.4,2
"Arrow Electronics","ARW",72,22,22100,6988.1,2
"3M","MMM",8,4,85000,58695,2
"Visa","V",7,6,28800,560847.5,2
"Apollo Global Management","APO",21,18,6855,63889.7,2
"HF Sinclair","DINO",17,16,5218,11987.6,2
"CBRE Group","CBRE",21,16,130000,29725.9,2
"PNC Financial Services Group","PNC",21,4,55612,64291.8,2
"Lithia Motors","LAD",57,2,25051,8283,2
"CarMax","KMX",57,2,30621,13756.5,2
"Paramount Global","PARA",43,6,24150,8099,2
"Dollar Tree","DLTR",57,18,138860,29024.4,2
"United Natural Foods","UNFI",72,22,29455,682.9,2
"PayPal Holdings","PYPL",7,6,27200,71796,2
"Penske Automotive Group","PAG",57,2,28000,10861,2
"Hewlett Packard Enterprise","HPE",63,4,62000,23049,2
"Duke Energy","DUK",17,21,27037,74607.9,2
"Occidental Petroleum","OXY",17,15,12570,57611.3,2
"NRG Energy","NRG",17,5,18131,14535.4,2
"Amgen","AMGN",27,16,26700,152372.5,2
"NextEra Energy","NEE",17,21,16800,131170.7,2
"Danaher","DHR",27,15,62000,184928.7,2
"Gilead Sciences","GILD",27,16,18000,91340.5,2
"AutoNation","AN",57,2,25300,6902.1,2
"Kraft Heinz","KHC",25,8,36000,44857,2
"Avnet","AVT",72,22,15800,4480.2,2
"Applied Materials","AMAT",63,18,34000,171356,2
"Southwest Airlines","LUV",67,#N/A,74806,17416.6,2
"Charles Schwab","SCHW",21,18,33000,131974.9,2
"Baker Hughes","BKR",17,16,58000,33529.5,2
"McDonald's","MCD",33,8,150000,203582.4,2
"Southern Company","SO",17,21,27960,78269.4,2
"Mastercard","MA",7,6,33400,449252.6,2
"Constellation Energy","CEG",17,5,13842,58250.1,2
"Hartford Financial Services Group","HIG",21,13,18700,30636.6,2
"PG&E","PCG",17,21,28010,35759.5,2
"Coupang","CPNG",57,13,78000,31903.1,2
"EOG Resources","EOG",17,15,3050,73535.6,2
"Union Pacific","UNP",67,16,32973,150041,2
"Rite Aid","RADCQ",22,8,47000,9,2
"Macy's","M",57,9,85581,5482.7,2
"Marriott International","MAR",33,10,148000,72730.7,2
"Lear","LEA",48,16,186600,8263.1,2
"Genuine Parts","GPC",72,22,60000,21600.9,2
"Sherwin-Williams","SHW",8,4,64088,88255.4,2
"Halliburton","HAL",17,16,48000,35087.8,2
"Freeport-McMoRan","FCX",17,15,27200,67445.9,2
"Live Nation Entertainment","LYV",43,6,23200,24411.5,2
"Marsh & McLennan","MMC",21,4,85000,101657.8,2
"Advanced Micro Devices","AMD",63,18,26000,291697.1,2
"First Citizens BancShares","FCNCA",21,4,15868,23620.4,2
"WESCO International","WCC",72,22,20000,8727.3,2
"Carrier Global","CARR",35,12,53000,52323,2
"Cleveland-Cliffs","CLF",43,15,28000,11331.1,2
"Block","SQ",7,6,12985,52075.3,2
"Exelon","EXC",17,21,19962,37560,2
"KKR","KKR",21,18,4490,89013.9,2
"CDW","CDW",63,13,15100,34329.5,2
"Booking Holdings","BKNG",63,13,23482,123968.4,2
"Synchrony","SYF",21,4,20000,17543.1,2
"Quanta Services","PWR",18,6,52500,37865.6,2
"Jones Lang LaSalle","JLL",21,16,106100,9255.6,2
"Discover Financial Services","DFS",21,4,21100,32846.5,2
"Tenet Healthcare","THC",27,10,95905,10510.5,2
"Altria Group","MO",25,20,6400,76922.2,2
"Stryker","SYK",27,15,52000,136158.7,2
"Kimberly-Clark","KMB",34,11,41000,43579.9,2
"Waste Management","WM",7,21,48000,85600.6,2
"Cheniere Energy","LNG",17,16,1605,37851.2,2
